source_id,source_name,target_id,target_name,mileage_km,distance_status,edge_type,official_link,macro_corridor,transition_count_bothways,data_source_note,is_bidirectional,section
43,施桥,6,谏壁,1.0,to_verify,cross_corridor_connector,京杭运河主通道南北联络（缺失航段跨接）,京杭主通道,1708,根据官方航线关系+高频相邻过闸转移补入的 reduced-path / connector 边；建议后续再核具体里程。,1,京杭主通道
43,施桥,44,邵伯,20.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,9511,苏北航务管理处官方航道里程，六圩口-邵伯段,1,京杭主通道
44,邵伯,45,淮安,113.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,8458,江苏省发改委、苏北航务管理处官方权威发布,1,京杭主通道
45,淮安,22,芒稻,1.0,to_verify,cross_corridor_connector,淮安—芒稻/里下河联络,京杭主通道,1230,根据官方航线关系+高频相邻过闸转移补入的 reduced-path / connector 边；建议后续再核具体里程。,1,京杭主通道
45,淮安,32,高良涧,1.0,to_verify,cross_corridor_connector,淮安—淮河联络,京杭主通道,3394,根据官方航线关系+高频相邻过闸转移补入的 reduced-path / connector 边；建议后续再核具体里程。,1,京杭主通道
45,淮安,46,淮阴,25.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,7148,江苏省发改委、苏北航务管理处官方权威发布,1,京杭主通道
46,淮阴,47,泗阳,42.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,6708,苏北运河404km全长拆分，宿迁航务中心官方航道区间里程,1,京杭主通道
47,泗阳,48,刘老涧,22.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,8700,宿迁航务中心官方发布梯级间距,1,京杭主通道
48,刘老涧,49,宿迁,31.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,9677,宿迁航务中心官方发布梯级间距,1,京杭主通道
49,宿迁,50,皂河,20.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,10375,宿迁航务中心官方发布梯级间距,1,京杭主通道
50,皂河,51,刘山,35.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,3480,苏北航务管理处官方航道梯级间距,1,京杭主通道
51,刘山,52,解台,21.0,retained_from_existing,mainline,京杭运河苏北段,京杭主通道,3317,苏北航务管理处官方航道梯级间距,1,京杭主通道
52,解台,38,蔺家坝,1.0,to_verify,cross_corridor_connector,京杭运河西航线/徐洪河联络,京杭主通道,3040,根据官方航线关系+高频相邻过闸转移补入的 reduced-path / connector 边；建议后续再核具体里程。,1,京杭主通道
1,秦淮河,53,长江干线,1.0,virtual_topology,virtual_yangtze_link,秦淮新河入江口门,沿江口门群,0,虚拟长江干线连接；仅用于增广拓扑表示，不作为物理航道里程。,1,沿江口门群
